Award Title,Movie Title,Nominee Name(s),Won,Year,url
Visual Effects,Snow White and the Huntsman,"Cedric Nicolas-Troyan, Philip Brennan, Neil Corbould and Michael Dawson",0,2013,https://letterboxd.com/film/snow-white-and-the-huntsman/
Writing (Adapted Screenplay),Argo,Screenplay by Chris Terrio,1,2013,https://letterboxd.com/film/argo/
Writing (Adapted Screenplay),Beasts of the Southern Wild,Screenplay by Lucy Alibar & Benh Zeitlin,0,2013,https://letterboxd.com/film/beasts-of-the-southern-wild/
Writing (Adapted Screenplay),Life of Pi,Screenplay by David Magee,0,2013,https://letterboxd.com/film/life-of-pi/
Writing (Adapted Screenplay),Lincoln,Screenplay by Tony Kushner,0,2013,https://letterboxd.com/film/lincoln/
Writing (Adapted Screenplay),Silver Linings Playbook,Screenplay by David O. Russell,0,2013,https://letterboxd.com/film/silver-linings-playbook/
Writing (Original Screenplay),Django Unchained,Written by Quentin Tarantino,1,2013,https://letterboxd.com/film/django-unchained/
Writing (Original Screenplay),Amour,Written by Michael Haneke,0,2013,https://letterboxd.com/film/amour/
Writing (Original Screenplay),Flight,Written by John Gatins,0,2013,https://letterboxd.com/film/flight/
Writing (Original Screenplay),Moonrise Kingdom,Written by Wes Anderson & Roman Coppola,0,2013,https://letterboxd.com/film/moonrise-kingdom/
Writing (Original Screenplay),Zero Dark Thirty,Written,NA,2013,https://letterboxd.com/film/zero-dark-thirty/
Actor in a Leading Role,Dallas Buyers Club,Matthew McConaughey,1,2014,https://letterboxd.com/film/dallas-buyers-club/
Actor in a Leading Role,American Hustle,Christian Bale,0,2014,https://letterboxd.com/film/american-hustle/
Actor in a Leading Role,Nebraska,Bruce Dern,0,2014,https://letterboxd.com/film/nebraska/
Actor in a Leading Role,The Wolf of Wall Street,Leonardo DiCaprio,0,2014,https://letterboxd.com/film/the-wolf-of-wall-street/
Actor in a Leading Role,12 Years a Slave,Chiwetel Ejiofor,0,2014,https://letterboxd.com/film/12-years-a-slave/
Actor in a Supporting Role,Dallas Buyers Club,Jared Leto,1,2014,https://letterboxd.com/film/dallas-buyers-club/
Actor in a Supporting Role,Captain Phillips,Barkhad Abdi,0,2014,https://letterboxd.com/film/captain-phillips/
Actor in a Supporting Role,American Hustle,Bradley Cooper,0,2014,https://letterboxd.com/film/american-hustle/
Actor in a Supporting Role,12 Years a Slave,Michael Fassbender,0,2014,https://letterboxd.com/film/12-years-a-slave/
Actor in a Supporting Role,The Wolf of Wall Street,Jonah Hill,0,2014,https://letterboxd.com/film/the-wolf-of-wall-street/
Actress in a Leading Role,Blue Jasmine,Cate Blanchett,1,2014,https://letterboxd.com/film/blue-jasmine/
Actress in a Leading Role,American Hustle,Amy Adams,0,2014,https://letterboxd.com/film/american-hustle/
Actress in a Leading Role,Gravity,Sandra Bullock,0,2014,https://letterboxd.com/film/gravity-2013/
Actress in a Leading Role,Philomena,Judi Dench,0,2014,https://letterboxd.com/film/philomena/
Actress in a Leading Role,August: Osage County,Meryl Streep,0,2014,https://letterboxd.com/film/august-osage-county/
Actress in a Supporting Role,12 Years a Slave,Lupita Nyong'o,1,2014,https://letterboxd.com/film/12-years-a-slave/
Actress in a Supporting Role,Blue Jasmine,Sally Hawkins,0,2014,https://letterboxd.com/film/blue-jasmine/
Actress in a Supporting Role,American Hustle,Jennifer Lawrence,0,2014,https://letterboxd.com/film/american-hustle/
Actress in a Supporting Role,August: Osage County,Julia Roberts,0,2014,https://letterboxd.com/film/august-osage-county/
Actress in a Supporting Role,Nebraska,June Squibb,0,2014,https://letterboxd.com/film/nebraska/
