Award Title,film_name,Nominee Name(s),Won,Year,url
Makeup and Hairstyling,Mad Max: Fury Road,"Lesley Vanderwalt, Elka Wardega and Damian Martin",1,2016,https://letterboxd.com/film/mad-max-fury-road/
Makeup and Hairstyling,The 100-Year-Old Man Who Climbed out the Window and Disappeared,Love Larson and Eva von Bahr,0,2016,https://letterboxd.com/film/the-100-year-old-man-who-climbed-out-the-window-and-disappeared/
Makeup and Hairstyling,The Revenant,"Siân Grigg, Duncan Jarman and Robert Pandini",0,2016,https://letterboxd.com/film/the-revenant-2015/
Music (Original Score),The Hateful Eight,Ennio Morricone,1,2016,https://letterboxd.com/film/the-hateful-eight/
Music (Original Score),Bridge of Spies,Thomas Newman,0,2016,https://letterboxd.com/film/bridge-of-spies/
Music (Original Score),Carol,Carter Burwell,0,2016,https://letterboxd.com/film/carol-2015/
Music (Original Score),Sicario,Jóhann Jóhannsson,0,2016,https://letterboxd.com/film/sicario-2015/
Music (Original Score),Star Wars: The Force Awakens,John Williams,0,2016,https://letterboxd.com/film/star-wars-the-force-awakens/
Best Picture,Spotlight,"Michael Sugar, Steve Golin, Nicole Rocklin and Blye Pagon Faust",1,2016,https://letterboxd.com/film/spotlight/
Best Picture,The Big Short,"Brad Pitt, Dede Gardner and Jeremy Kleiner",0,2016,https://letterboxd.com/film/the-big-short/
Best Picture,Bridge of Spies,"Steven Spielberg, Marc Platt and Kristie Macosko Krieger",0,2016,https://letterboxd.com/film/bridge-of-spies/
Best Picture,Brooklyn,Finola Dwyer and Amanda Posey,0,2016,https://letterboxd.com/film/brooklyn/
Best Picture,Mad Max: Fury Road,Doug Mitchell and George Miller,0,2016,https://letterboxd.com/film/mad-max-fury-road/
Best Picture,The Martian,"Simon Kinberg, Ridley Scott, Michael Schaefer and Mark Huffam",0,2016,https://letterboxd.com/film/the-martian/
Best Picture,The Revenant,"Arnon Milchan, Steve Golin, Alejandro G. Iñárritu, Mary Parent and Keith Redmon",0,2016,https://letterboxd.com/film/the-revenant-2015/
Best Picture,Room,Ed Guiney,0,2016,https://letterboxd.com/film/room-2015/
Production Design,Mad Max: Fury Road,Colin Gibson and Lisa Thompson,1,2016,https://letterboxd.com/film/mad-max-fury-road/
Production Design,Bridge of Spies,"Adam Stockhausen, Rena DeAngelo and Bernhard Henrich",0,2016,https://letterboxd.com/film/bridge-of-spies/
Production Design,The Danish Girl,Eve Stewart and Michael Standish,0,2016,https://letterboxd.com/film/the-danish-girl/
